,alpha,color,mAP,IoU
0,5.0,RGB,0.3613439327497249,0.2923283266021336
1,5.0,HSV,0.2643261132003906,0.30249968605850847
2,5.0,YCRCB,0.4050992623514588,0.28027680513651954
3,5.0,YUV,0.39641870988486627,0.28156134691079204
4,6.0,RGB,0.4153066663530982,0.2562019770092611
5,6.0,HSV,0.29402057515127317,0.27450921471103756
6,6.0,YCRCB,0.40659889843561653,0.2436273932530371
7,6.0,YUV,0.4075308971207983,0.24408886016386702
