,alpha,color,mAP,IoU
0,5.0,RGB,0.3584495861494519,0.25850649580703716
1,5.0,HSV,0.2923283266021336,0.30249968605850847


Grid sobre RGB amb alpha = 3, 4, 5, 6, 7, 8
{3.0: {'RGB': [0.1914155172426097, 0.30746237783273]}, 4.0: {'RGB': [0.24329121881945795, 0.3245133419892088]}, 5.0: {'RGB': [0.3747929509268023, 0.2923283266021336]}, 6.0: {'RGB': [0.4197453967389858, 0.2562019770092611]}, 7.0: {'RGB': [0.327080989856914, 0.20981285236257938]}, 8.0: {'RGB': [0.22314822829941056, 0.16196997242268618]}}
